C006168|Lateral Acceleration Sensor Algorithm Based Failures Event information;
B001364|Passenger Knee Bolster Deployment Control Algorithm Based Failures Signal plausibility failure;
B001395|Passenger Knee Bolster Deployment Control Component Failures Incorrect assembly;
B002011|Left Side Airbag Deployment Control General Electrical Failures Circuit short to ground;
B002012|Left Side Airbag Deployment Control General Electrical Failures Circuit short to battery;
B00201A|Left Side Airbag Deployment Control General Electrical Failures Circuit resistance below threshold;
B00201B|Left Side Airbag Deployment Control General Electrical Failures Circuit resistance above threshold;
B002064|Left Side Airbag Deployment Control Algorithm Based Failures Signal plausibility failure;
B002095|Left Side Airbag Deployment Control Component Failures Incorrect assembly;
B002111|Left Curtain Deployment Control 1 General Electrical Failures Circuit short to ground;
B002112|Left Curtain Deployment Control 1 General Electrical Failures Circuit short to battery;
B00211A|Left Curtain Deployment Control 1 General Electrical Failures Circuit resistance below threshold;
B00211B|Left Curtain Deployment Control 1 General Electrical Failures Circuit resistance above threshold;
B002164|Left Curtain Deployment Control 1 Algorithm Based Failures Signal plausibility failure;
B002195|Left Curtain Deployment Control 1 Component Failures Incorrect assembly;
B002211|Left Curtain Deployment Control 2 General Electrical Failures Circuit short to ground;
B002212|Left Curtain Deployment Control 2 General Electrical Failures Circuit short to battery;
B00221A|Left Curtain Deployment Control 2 General Electrical Failures Circuit resistance below threshold;
B00221B|Left Curtain Deployment Control 2 General Electrical Failures Circuit resistance above threshold;
B002264|Left Curtain Deployment Control 2 Algorithm Based Failures Signal plausibility failure;
B002295|Left Curtain Deployment Control 2 Component Failures Incorrect assembly;
B002811|Right Side Airbag Deployment Control General Electrical Failures Circuit short to ground;
B002812|Right Side Airbag Deployment Control General Electrical Failures Circuit short to battery;
B00281A|Right Side Airbag Deployment Control General Electrical Failures Circuit resistance below threshold;
B00281B|Right Side Airbag Deployment Control General Electrical Failures Circuit resistance above threshold;
B002864|Right Side Airbag Deployment Control Algorithm Based Failures Signal plausibility failure;
B002895|Right Side Airbag Deployment Control Component Failures Incorrect assembly;
B002911|Right Curtain Deployment Control 1 General Electrical Failures Circuit short to ground;
B002912|Right Curtain Deployment Control 1 General Electrical Failures Circuit short to battery;
B00291A|Right Curtain Deployment Control 1 General Electrical Failures Circuit resistance below threshold;
B00291B|Right Curtain Deployment Control 1 General Electrical Failures Circuit resistance above threshold;
B002964|Right Curtain Deployment Control 1 Algorithm Based Failures Signal plausibility failure;
B002995|Right Curtain Deployment Control 1 Component Failures Incorrect assembly;
B002A11|Right Curtain Deployment Control 2 General Electrical Failures Circuit short to ground;
B002A12|Right Curtain Deployment Control 2 General Electrical Failures Circuit short to battery;
B002A1A|Right Curtain Deployment Control 2 General Electrical Failures Circuit resistance below threshold;
B002A1B|Right Curtain Deployment Control 2 General Electrical Failures Circuit resistance above threshold;
B002A64|Right Curtain Deployment Control 2 Algorithm Based Failures Signal plausibility failure;
B002A95|Right Curtain Deployment Control 2 Component Failures Incorrect assembly;
B005011|Driver Seatbelt Sensor General Electrical Failures Circuit short to ground;
B005012|Driver Seatbelt Sensor General Electrical Failures Circuit short to battery;
B005013|Driver Seatbelt Sensor General Electrical Failures Circuit open;
B00501D|Driver Seatbelt Sensor General Electrical Failures Circuit current out of range;
B005064|Driver Seatbelt Sensor Algorithm Based Failures Signal plausibility failure;
B005095|Driver Seatbelt Sensor Component Failures Incorrect assembly;
B005211|Passenger Seatbelt Sensor General Electrical Failures Circuit short to ground;
B005212|Passenger Seatbelt Sensor General Electrical Failures Circuit short to battery;
B005213|Passenger Seatbelt Sensor General Electrical Failures Circuit open;
B00521D|Passenger Seatbelt Sensor General Electrical Failures Circuit current out of range;
B005264|Passenger Seatbelt Sensor Algorithm Based Failures Signal plausibility failure;
B005295|Passenger Seatbelt Sensor Component Failures Incorrect assembly;
B005311|Second Row Left Seatbelt Sensor General Electrical Failures Circuit short to ground;
B005312|Second Row Left Seatbelt Sensor General Electrical Failures Circuit short to battery;
B005313|Second Row Left Seatbelt Sensor General Electrical Failures Circuit open;
B00531D|Second Row Left Seatbelt Sensor General Electrical Failures Circuit current out of range;
B005364|Second Row Left Seatbelt Sensor Algorithm Based Failures Signal plausibility failure;
B005395|Second Row Left Seatbelt Sensor Component Failures Incorrect assembly;
B005411|Second Row Center Seatbelt Sensor General Electrical Failures Circuit short to ground;
B005412|Second Row Center Seatbelt Sensor General Electrical Failures Circuit short to battery;
B005413|Second Row Center Seatbelt Sensor General Electrical Failures Circuit open;
B00541D|Second Row Center Seatbelt Sensor General Electrical Failures Circuit current out of range;
B005464|Second Row Center Seatbelt Sensor Algorithm Based Failures Signal plausibility failure;
B005495|Second Row Center Seatbelt Sensor Component Failures Incorrect assembly;
B005511|Second Row Right Seatbelt Sensor General Electrical Failures Circuit short to ground;
B005512|Second Row Right Seatbelt Sensor General Electrical Failures Circuit short to battery;
B005513|Second Row Right Seatbelt Sensor General Electrical Failures Circuit open;
B00551D|Second Row Right Seatbelt Sensor General Electrical Failures Circuit current out of range;
B005564|Second Row Right Seatbelt Sensor Algorithm Based Failures Signal plausibility failure;
B005595|Second Row Right Seatbelt Sensor Component Failures Incorrect assembly;
B005611|Third Row Left Seatbelt Sensor General Electrical Failures Circuit short to ground;
B005612|Third Row Left Seatbelt Sensor General Electrical Failures Circuit short to battery;
B005613|Third Row Left Seatbelt Sensor General Electrical Failures Circuit open;
B00561D|Third Row Left Seatbelt Sensor General Electrical Failures Circuit current out of range;
B005664|Third Row Left Seatbelt Sensor Algorithm Based Failures Signal plausibility failure;
B005695|Third Row Left Seatbelt Sensor Component Failures Incorrect assembly;
B005811|Third Row Right Seatbelt Sensor General Electrical Failures Circuit short to ground;
B005812|Third Row Right Seatbelt Sensor General Electrical Failures Circuit short to battery;
B005813|Third Row Right Seatbelt Sensor General Electrical Failures Circuit open;
B00581D|Third Row Right Seatbelt Sensor General Electrical Failures Circuit current out of range;
B005864|Third Row Right Seatbelt Sensor Algorithm Based Failures Signal plausibility failure;
B005895|Third Row Right Seatbelt Sensor Component Failures Incorrect assembly;
"B007011|Driver Seatbelt Pretensioner ""A"" Deployment Control General Electrical Failures Circuit short to ground;"
"B007012|Driver Seatbelt Pretensioner ""A"" Deployment Control General Electrical Failures Circuit short to battery;"
"B00701A|Driver Seatbelt Pretensioner ""A"" Deployment Control General Electrical Failures Circuit resistance below threshold;"
"B00701B|Driver Seatbelt Pretensioner ""A"" Deployment Control General Electrical Failures Circuit resistance above threshold;"
"B007064|Driver Seatbelt Pretensioner ""A"" Deployment Control Algorithm Based Failures Signal plausibility failure;"
"B007095|Driver Seatbelt Pretensioner ""A"" Deployment Control Component Failures Incorrect assembly;"
"B007211|Passenger Seatbelt Pretensioner ""A"" Deployment Control General Electrical Failures Circuit short to ground;"
"B007212|Passenger Seatbelt Pretensioner ""A"" Deployment Control General Electrical Failures Circuit short to battery;"
"B00721A|Passenger Seatbelt Pretensioner ""A"" Deployment Control General Electrical Failures Circuit resistance below threshold;"
"B00721B|Passenger Seatbelt Pretensioner ""A"" Deployment Control General Electrical Failures Circuit resistance above threshold;"
"B007264|Passenger Seatbelt Pretensioner ""A"" Deployment Control Algorithm Based Failures Signal plausibility failure;"
"B007295|Passenger Seatbelt Pretensioner ""A"" Deployment Control Component Failures Incorrect assembly;"
B007311|Second Row Left Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit short to ground;
B007312|Second Row Left Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit short to battery;
B00731A|Second Row Left Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit resistance below threshold;
B00731B|Second Row Left Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit resistance above threshold;
B007364|Second Row Left Seatbelt Pretensioner Deployment Control Algorithm Based Failures Signal plausibility failure;
B007395|Second Row Left Seatbelt Pretensioner Deployment Control Component Failures Incorrect assembly;
B007411|Second Row Center Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit short to ground;
B007412|Second Row Center Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit short to battery;
B00741A|Second Row Center Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit resistance below threshold;
B00741B|Second Row Center Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit resistance above threshold;
B007464|Second Row Center Seatbelt Pretensioner Deployment Control Algorithm Based Failures Signal plausibility failure;
B007495|Second Row Center Seatbelt Pretensioner Deployment Control Component Failures Incorrect assembly;
B007511|Second Row Right Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit short to ground;
B007512|Second Row Right Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit short to battery;
B00751A|Second Row Right Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit resistance below threshold;
B00751B|Second Row Right Seatbelt Pretensioner Deployment Control General Electrical Failures Circuit resistance above threshold;
B007564|Second Row Right Seatbelt Pretensioner Deployment Control Algorithm Based Failures Signal plausibility failure;
B007595|Second Row Right Seatbelt Pretensioner Deployment Control Component Failures Incorrect assembly;
"B007911|Driver Seatbelt Pretensioner ""B"" Deployment Control General Electrical Failures Circuit short to ground;"
"B007912|Driver Seatbelt Pretensioner ""B"" Deployment Control General Electrical Failures Circuit short to battery;"
"B00791A|Driver Seatbelt Pretensioner ""B"" Deployment Control General Electrical Failures Circuit resistance below threshold;"
"B00791B|Driver Seatbelt Pretensioner ""B"" Deployment Control General Electrical Failures Circuit resistance above threshold;"
"B007964|Driver Seatbelt Pretensioner ""B"" Deployment Control Algorithm Based Failures Signal plausibility failure;"
"B007995|Driver Seatbelt Pretensioner ""B"" Deployment Control Component Failures Incorrect assembly;"
"B007A11|Passenger Seatbelt Pretensioner ""B"" Deployment Control General Electrical Failures Circuit short to ground;"
"B007A12|Passenger Seatbelt Pretensioner ""B"" Deployment Control General Electrical Failures Circuit short to battery;"
"B007A1A|Passenger Seatbelt Pretensioner ""B"" Deployment Control General Electrical Failures Circuit resistance below threshold;"
"B007A1B|Passenger Seatbelt Pretensioner ""B"" Deployment Control General Electrical Failures Circuit resistance above threshold;"
"B007A64|Passenger Seatbelt Pretensioner ""B"" Deployment Control Algorithm Based Failures Signal plausibility failure;"
"B007A95|Passenger Seatbelt Pretensioner ""B"" Deployment Control Component Failures Incorrect assembly;"
B008011|Driver Seatbelt Load Limiter Deployment Control General Electrical Failures Circuit short to ground;
B008012|Driver Seatbelt Load Limiter Deployment Control General Electrical Failures Circuit short to battery;
B00801A|Driver Seatbelt Load Limiter Deployment Control General Electrical Failures Circuit resistance below threshold;
B00801B|Driver Seatbelt Load Limiter Deployment Control General Electrical Failures Circuit resistance above threshold;
B008064|Driver Seatbelt Load Limiter Deployment Control Algorithm Based Failures Signal plausibility failure;
B008095|Driver Seatbelt Load Limiter Deployment Control Component Failures Incorrect assembly;
B008211|Passenger Seatbelt Load Limiter Deployment Control General Electrical Failures Circuit short to ground;
B008212|Passenger Seatbelt Load Limiter Deployment Control General Electrical Failures Circuit short to battery;
B00821A|Passenger Seatbelt Load Limiter Deployment Control General Electrical Failures Circuit resistance below threshold;
B00821B|Passenger Seatbelt Load Limiter Deployment Control General Electrical Failures Circuit resistance above threshold;
B008264|Passenger Seatbelt Load Limiter Deployment Control Algorithm Based Failures Signal plausibility failure;
B008295|Passenger Seatbelt Load Limiter Deployment Control Component Failures Incorrect assembly;
B009011|Left Frontal Restraints Sensor  General Electrical Failures Circuit short to ground;
B009012|Left Frontal Restraints Sensor  General Electrical Failures Circuit short to battery;
B009013|Left Frontal Restraints Sensor  General Electrical Failures Circuit open;
B009064|Left Frontal Restraints Sensor  Algorithm Based Failures Signal plausibility failure;
B009081|Left Frontal Restraints Sensor  Bus Signal / Message Failures Invalid serial data received;
B009095|Left Frontal Restraints Sensor Component Failures Incorrect assembly;
B009096|Left Frontal Restraints Sensor  Component Failures Component internal failure;
B009211|Left Side Restraints Sensor 2 General Electrical Failures Circuit short to ground;
B009212|Left Side Restraints Sensor 2 General Electrical Failures Circuit short to battery;
B009213|Left Side Restraints Sensor 2 General Electrical Failures Circuit open;
B009264|Left Side Restraints Sensor 2 Algorithm Based Failures Signal plausibility failure;
B009281|Left Side Restraints Sensor 2 Bus Signal / Message Failures Invalid serial data received;
B009295|Left Side Restraints Sensor 2 Component Failures Incorrect assembly;
B009296|Left Side Restraints Sensor 2 Component Failures Component internal failure;
B009311|Left Side Restraints Sensor 3 General Electrical Failures Circuit short to ground;
B009312|Left Side Restraints Sensor 3 General Electrical Failures Circuit short to battery;
B009313|Left Side Restraints Sensor 3 General Electrical Failures Circuit open;
B009364|Left Side Restraints Sensor 3 Algorithm Based Failures Signal plausibility failure;
B009381|Left Side Restraints Sensor 3 Bus Signal / Message Failures Invalid serial data received;
B009395|Left Side Restraints Sensor 3 Component Failures Incorrect assembly;
B009396|Left Side Restraints Sensor 3 Component Failures Component internal failure;
B009464|Center Frontal Restraints Sensor Algorithm Based Failures Signal plausibility failure;
B009511|Right Frontal Restraints Sensor  General Electrical Failures Circuit short to ground;
B009512|Right Frontal Restraints Sensor  General Electrical Failures Circuit short to battery;
B009513|Right Frontal Restraints Sensor  General Electrical Failures Circuit open;
B009564|Right Frontal Restraints Sensor  Algorithm Based Failures Signal plausibility failure;
B009581|Right Frontal Restraints Sensor  Bus Signal / Message Failures Invalid serial data received;
B009595|Right Frontal Restraints Sensor Component Failures Incorrect assembly;
B009596|Right Frontal Restraints Sensor  Component Failures Component internal failure;
B009711|Right Side Restraints Sensor 2 General Electrical Failures Circuit short to ground;
B009712|Right Side Restraints Sensor 2 General Electrical Failures Circuit short to battery;
B009713|Right Side Restraints Sensor 2 General Electrical Failures Circuit open;
B009764|Right Side Restraints Sensor 2 Algorithm Based Failures Signal plausibility failure;
B009781|Right Side Restraints Sensor 2 Bus Signal / Message Failures Invalid serial data received;
B009795|Right Side Restraints Sensor 2 Component Failures Incorrect assembly;
B009796|Right Side Restraints Sensor 2 Component Failures Component internal failure;
B009811|Right Side Restraints Sensor 3 General Electrical Failures Circuit short to ground;
B009812|Right Side Restraints Sensor 3 General Electrical Failures Circuit short to battery;
B009813|Right Side Restraints Sensor 3 General Electrical Failures Circuit open;
B009864|Right Side Restraints Sensor 3 Algorithm Based Failures Signal plausibility failure;
B009881|Right Side Restraints Sensor 3 Bus Signal / Message Failures Invalid serial data received;
B009895|Right Side Restraints Sensor 3 Component Failures Incorrect assembly;
B009896|Right Side Restraints Sensor 3 Component Failures Component internal failure;
B00B511|Driver Seat Track Position Restraints Sensor General Electrical Failures Circuit short to ground;
B00B512|Driver Seat Track Position Restraints Sensor General Electrical Failures Circuit short to battery;
B00B513|Driver Seat Track Position Restraints Sensor General Electrical Failures Circuit open;
B00B51D|Driver Seat Track Position Restraints Sensor General Electrical Failures Circuit current out of range;
B00B564|Driver Seat Track Position Restraints Sensor Algorithm Based Failures Signal plausibility failure;
B00B595|Driver Seat Track Position Restraints Sensor Component Failures Incorrect assembly;
B00C511|Passenger Seat Track Position Restraints Sensor General Electrical Failures Circuit short to ground;
B00C512|Passenger Seat Track Position Restraints Sensor General Electrical Failures Circuit short to battery;
B00C513|Passenger Seat Track Position Restraints Sensor General Electrical Failures Circuit open;
B00C51D|Passenger Seat Track Position Restraints Sensor General Electrical Failures Circuit current out of range;
B00C564|Passenger Seat Track Position Restraints Sensor Algorithm Based Failures Signal plausibility failure;
B00C595|Passenger Seat Track Position Restraints Sensor Component Failures Incorrect assembly;
B00D568|Restraint System Passenger Disable Indicator Algorithm Based Failures Event information;
B00D582|Restraint System Passenger Disable Indicator Bus Signal / Message Failures Alive / sequence counter incorrect / not updated;
B00D583|Restraint System Passenger Disable Indicator Bus Signal / Message Failures Value of signal protection calculation incorrect;
B00DF1D|Passenger Restraints Disable Switch General Electrical Failures Circuit current out of range;
B00DF64|Passenger Restraints Disable Switch Algorithm Based Failures Signal plausibility failure;
B119343|Crash Event Storage Full and Locked System Internal Failures Special memory failure;
B11A011|Left side restraints pressure sensor General Electrical Failures Circuit short to ground;
B11A012|Left side restraints pressure sensor General Electrical Failures Circuit short to battery;
B11A013|Left side restraints pressure sensor General Electrical Failures Circuit open;
B11A064|Left side restraints pressure sensor Algorithm Based Failures Signal plausibility failure;
B11A081|Left side restraints pressure sensor Bus Signal / Message Failures Invalid serial data received;
B11A095|Left Side Restraints Pressure Sensor Component Failures Incorrect assembly;
B11A096|Left Side Restraints Pressure Sensor Component Failures Component internal failure;
B11A111|Right side restraints pressure sensor General Electrical Failures Circuit short to ground;
B11A112|Right side restraints pressure sensor General Electrical Failures Circuit short to battery;
B11A113|Right side restraints pressure sensor General Electrical Failures Circuit open;
B11A164|Right side restraints pressure sensor Algorithm Based Failures Signal plausibility failure;
B11A181|Right Side Restraints Pressure Sensor Bus Signal / Message Failures Invalid serial data received;
B11A195|Right Side Restraints Pressure Sensor Component Failures Incorrect assembly;
B11A196|Right Side Restraints Pressure Sensor Component Failures Component internal failure;
B142211|Pedestrian Protection Sensor #1 General Electrical Failures Circuit short to ground;
B142212|Pedestrian Protection Sensor #1 General Electrical Failures Circuit short to battery;
B142213|Pedestrian Protection Sensor #1 General Electrical Failures Circuit open;
B142264|Pedestrian Protection Sensor #1 Algorithm Based Failures Signal plausibility failure;
B142281|Pedestrian Protection Sensor #1 Bus Signal / Message Failures Invalid serial data received;
B142295|Pedestrian Protection Sensor #1 Component Failures Incorrect assembly;
B142296|Pedestrian Protection Sensor #1 Component Failures Component internal failure;
B142311|Pedestrian Protection Sensor #2 General Electrical Failures Circuit short to ground;
B142312|Pedestrian Protection Sensor #2 General Electrical Failures Circuit short to battery;
B142313|Pedestrian Protection Sensor #2 General Electrical Failures Circuit open;
B142364|Pedestrian Protection Sensor #2 Algorithm Based Failures Signal plausibility failure;
B142381|Pedestrian Protection Sensor #2 Bus Signal / Message Failures Invalid serial data received;
B142395|Pedestrian Protection Sensor #2 Component Failures Incorrect assembly;
B142396|Pedestrian Protection Sensor #2 Component Failures Component internal failure;
B153811|High voltage battery power supply disconnect deployment loop control General Electrical Failures Circuit short to ground;
B153812|High voltage battery power supply disconnect deployment loop control General Electrical Failures Circuit short to battery;
B15381A|High voltage battery power supply disconnect deployment loop control General Electrical Failures Circuit resistance below threshold;
B15381B|High voltage battery power supply disconnect deployment loop control General Electrical Failures Circuit resistance above threshold;
B153864|High voltage battery power supply disconnect deployment loop control Algorithm Based Failures Signal plausibility failure;
B153895|High voltage battery power supply disconnect deployment loop control Component Failures Incorrect assembly;
B154012|Front Passenger Seatbelt Reminder Sensor General Electrical Failures Circuit short to battery;
B154064|Front Passenger Seatbelt Reminder Sensor Algorithm Based Failures Signal plausibility failure;
B154211|Second Row Left Side Airbag Deployment Control General Electrical Failures Circuit short to ground;
B154212|Second Row Left Side Airbag Deployment Control General Electrical Failures Circuit short to battery;
B15421A|Second Row Left Side Airbag Deployment Control General Electrical Failures Circuit resistance below threshold;
B15421B|Second Row Left Side Airbag Deployment Control General Electrical Failures Circuit resistance above threshold;
B154264|Second Row Left Side Airbag Deployment Control Algorithm Based Failures Signal plausibility failure;
B154295|Second Row Left Side Airbag Deployment Control Component Failures Incorrect assembly;
B154311|Second Row Right Side Airbag Deployment Control General Electrical Failures Circuit short to ground;
B154312|Second Row Right Side Airbag Deployment Control General Electrical Failures Circuit short to battery;
B15431A|Second Row Right Side Airbag Deployment Control General Electrical Failures Circuit resistance below threshold;
B15431B|Second Row Right Side Airbag Deployment Control General Electrical Failures Circuit resistance above threshold;
B154364|Second Row Right Side Airbag Deployment Control Algorithm Based Failures Signal plausibility failure;
B154395|Second Row Right Side Airbag Deployment Control Component Failures Incorrect assembly;
B156911|Pedestrian Protection Pressure Tube Sensor Left General Electrical Failures Circuit short to ground;
B156912|Pedestrian Protection Pressure Tube Sensor Left General Electrical Failures Circuit short to battery;
B156913|Pedestrian Protection Pressure Tube Sensor Left General Electrical Failures Circuit open;
B156964|Pedestrian Protection Pressure Tube Sensor Left Algorithm Based Failures Signal plausibility failure;
B156981|Pedestrian Protection Pressure Tube Sensor Left Bus Signal / Message Failures Invalid serial data received;
